    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,saca,trc,smon,smpd,smop,hi,res,phdt,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,fsa,cit,wi,ss,pa,ah,sp,co,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,snr,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,fqhc,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,pefp,aot,msnh,ipsy,shp,vahc,mmd,antpych,mpep,aim,fed,sotp,dea,mhc,samf,mhpa,hbt,hct,labt,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40 
Better Life Partners,,1900 West Park Drive,Suite 280,Westborough,MA,01581,,Worcester,866-679-0831,,,,http://betterlifepartners.com,42.2813253,-71.572488,SU,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,1,,,,,1,,,,,,,,1,1,,,,1,,1,1,,,1,,,1,1,,1,1,,,1,1,,,,,1,1,1,1,,,,,1,1,,,,1,1,,1,1,1,1,,,1,,1,,1,1,1,,,1,,,,,,,,,,1,1,,,1,,1,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Better Life Partners,,1900 West Park Drive,Suite 280,Westborough,MA,01581,,Worcester,866-679-0831,,,,http://betterlifepartners.com,42.2810633,-71.5725269,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Milford Outpatient Treatment Center,200 East Main Street,,Milford,MA,01757,,Worcester,508-634-1877 x3424,,508-917-6792,,http://www.spectrumhealthsystems.org,42.1510435,-71.4984089,SU,,1,,1,,1,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,1,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,1,,,1,1,,1,1,1,,1,,,1,,1,1,1,1,,,1,,1,,1,,,1,,1,,1,1,1,1,,1,1,,1,1,1,,1,1,,,1,,1,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Seven Hills Behavioral Health,Milford,25 Birch Street,"Building B, 2nd Floor",Milford,MA,01757,,Worcester,508-902-0080,,,,https://www.sevenhills.org/cfbh,42.141236,-71.4902984,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,1,1,1,,,,,,1,,,,1,,,,,,,,,,,1,,,1,1,,,,1,,,,,,,,1,1,1,1,,1,,1,1,,,1,,1,,,,1,1,,,1,,,,,1,1,,1,,,,,,,,,,1,,1,,1,1,1,,1,,,,,,,,,,,,1,,1,,1,1,,,1,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Hills Behavioral Health,Milford,25 Birch Street,"Building B, 2nd Floor",Milford,MA,01757,,Worcester,508-902-0080,,,,https://www.sevenhills.org/cfbh,42.141236,-71.4902984,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,1,,1,,,1,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex Recovery Norton,,85 East Main Street,Suite A,Norton,MA,02766,,Bristol,508-715-9664,,508-285-8550,,https://www.middlesexrecovery.com/locations/norton/,41.9716903,-71.1768601,SU,,1,1,,,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,1,,,,,1,,1,1,,,1,,1,1,,,,,,1,,,,,,,1,1,,1,1,,,,1,,,,,1,1,1,,,,,,,,,,,1,1,,,1,,,1,,,,1,,1,1,1,1,1,1,,,,1,,,,,,1,1,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
North Cottage Program Inc,,69 East Main Street,,Norton,MA,02766,,Bristol,508-285-2701,,508-285-2701 x138,,http://www.northcottage.com/,41.9704697,-71.1793385,SU,,1,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,1,,1,1,,,1,,,,,1,1,1,1,,,,,,,,,,,1,,1,,,,,1,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,,,1,1,,1,,,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,,,,1,1,,,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Advocates Community Counseling,Harvard,257 Ayer Road,,Harvard,MA,01451,,Middlesex,978-772-1846,Intakes,508-661-2038,978-391-5069,http://www.advocates.org,42.5339318,-71.5771167,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,,,,,1,,,1,,1,,1,1,,,,,,,,,,,,1,,,,,,1,,,,,,1,,1,1,1,1,1,1,,,,1,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,
Advocates Community Counseling,Harvard,257 Ayer Road,,Harvard,MA,01451,,Middlesex,978-772-1846,Intakes,508-661-2038,978-391-5069,http://www.advocates.org,42.5340948781423,-71.5771922594266,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,,1,,1,1,,,1,,,,,,1,1,1,,1,,,1,,1,1,,1,,1,,1,1,1,,1,,1,,1,,1,1,1,,,1,1,,,,,,,,,,1,1,1,,,1,,,1,,1,1,1,1,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,
Spectrum Health Systems Inc,,100 Plaistow Road,,Haverhill,MA,01830,,Essex,978-373-4985,,877-697-3422,,http://www.spectrumhealthsystems.org/,42.8147637,-71.1044661,SU,,1,,1,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,1,1,,1,,,,,,,1,1,,,1,1,1,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,1,1,1,,1,1,1,1,,,1,,,1,1,,1,1,,,1,,,1,,1,1,1,1,,1,,,1,1,,,,1,1,1,,1,1,,1,,1,1,,1,1,,,,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Link House Inc,,37 Washington Street,,Newburyport,MA,01950,,Essex,978-462-7341,,,,http://www.linkhouseinc.org,42.8113422647894,-70.8775287153826,SU,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,1,1,1,,,,1,,1,1,,,1,,,1,1,,,1,,,1,,,1,,,1,1,1,,,,,1,1,,,,,,1,,1,1,1,,,1,1,,,,,,,,,,1,,,1,1,1,,,1,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Health Systems Inc,Clinical Support Services,155 Oak Street,Suite A,Westborough,MA,01581,,Worcester,508-898-1570,Intakes,508-898-1570 x6251,774-314-4906,http://www.spectrumhealthsystems.org,42.2864785,-71.6267758,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,1,,,,,1,,,,,,,,1,1,,,1,1,1,1,,,,1,,,1,1,,1,1,,,1,,,1,,,1,1,1,,,,,1,1,,1,,1,1,1,1,,1,,,1,1,,,1,,1,1,1,1,,,1,,1,1,,1,,,1,,1,,1,1,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,
Spectrum Health Systems Inc,Clinical Support Services,155 Oak Street,Suite A,Westborough,MA,01581,,Worcester,508-898-1570,Intakes,508-898-1570 x6251,774-314-4906,http://www.spectrumhealthsystems.org,42.2864785,-71.6267758,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,,,
Spectrum Health Systems Inc,Residential Program,154 Oak Street,,Westborough,MA,01581,,Worcester,508-439-4812 x4812,Intakes,508-329-8168,508-340-0160,http://www.spectrumhealth.org/,42.2853361,-71.6274632,SU,,1,,,,1,,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,1,1,,,1,,,1,,1,1,1,1,,,,1,1,1,,,,1,,1,1,1,1,1,,,1,,,1,,1,,1,1,1,,1,1,,1,,,,,1,1,1,,,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,
Link House Outpatient Clinic,Link House Inc,110 Haverhill Road,Suite 206,Amesbury,MA,01913,,Essex,978-834-6583,,,,http://www.linkhouseinc.org,42.8423465,-70.9616456,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,,1,,1,1,,,1,,1,,,,1,1,,,1,,,1,,1,1,1,1,1,,,,,,,1,,1,1,1,,1,1,,,1,,1,,1,,1,1,1,1,,,1,,1,,,1,,,1,1,1,,1,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Link House Outpatient Clinic,Link House Inc,110 Haverhill Road,Suite 206,Amesbury,MA,01913,,Essex,978-834-6583,,,,http://www.linkhouseinc.org,42.8423465,-70.9616456,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewell Counseling Services,Amesbury,24 Morrill Place,,Amesbury,MA,01913,,Essex,978-388-5700,,,,http://www.bridgewell.org,42.8484252,-70.933596,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewell Counseling Services,Amesbury,24 Morrill Place,,Amesbury,MA,01913,,Essex,978-388-5700,,,,http://www.bridgewell.org,42.8484252,-70.933596,SU,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,1,1,1,,,,,1,,,,,,,,,1,1,,,1,,,,,1,1,1,1,,1,,,1,,,1,,1,1,1,,1,1,1,,,,1,,1,,1,,1,1,,,1,,1,,,,,,,1,,1,,1,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mentor South Bay,,607 Pleasant Street,Suite 115,Attleboro,MA,02703,,Bristol,508-223-4691,,508-427-5362,,http://www.southbaycommunityservices.com,41.9530782,-71.2661856,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,
Community Healthcare Inc,Healthcare Resource Centers,23 North Main Street,,Attleboro,MA,02703,,Bristol,508-342-8041,,,,http://www.hcrcenters.com/health-care-resource-centers-attleboro/,41.9451772,-71.2847761,SU,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,,1,,,1,,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,1,,,1,,,1,1,1,,,,,1,1,1,,,,1,1,,,1,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
VK New England Management LLC,Lawrence Medical Center/Attleboro,7 North Main Street,Suite 215,Attleboro,MA,02703,,Bristol,774-331-3941,,,,https://lawrencemedicalcenter.net/,41.9447632,-71.2841302,SU,,1,1,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,1,,1,,1,,,1,,,,,1,,,,,,1,,1,1,1,,1,1,,1,1,,,1,,,1,1,,1,1,1,,,1,,,,1,1,1,,,,,1,1,1,,1,,1,1,1,,1,1,,,,,,,1,,1,1,1,1,,1,,,1,1,,1,,,1,1,1,,,1,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
VK New England Management LLC,Lawrence Medical Center/Attleboro,7 North Main Street,Suite 215,Attleboro,MA,02703,,Bristol,774-331-3941,,,,https://lawrencemedicalcenter.net/,41.9447632,-71.2841302,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pathway to Recovery LLC,,59 Broadway,,Taunton,MA,02780,,Bristol,508-386-0916,,,,https://www.pathwaytorecoveryma.com,41.9049435,-71.092821,SU,,1,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,1,1,,,,,1,,1,,,,1,,,1,1,,1,1,,,1,1,,,,1,1,1,1,1,,,,1,1,1,1,,1,,1,,1,1,,1,1,1,,,1,,1,1,1,1,1,1,,,1,,,,,,,1,1,,,1,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,
Community Counseling of Bristol County,Day Treatment Program,19 Cedar Street,,Taunton,MA,02780,,Bristol,508-823-6124,,,,http://www.comcounseling.org,41.9028683,-71.0896841,MH,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,1,,,1,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Anchor House Inc,,60 1/2 Cherry Street,,Plymouth,MA,02360,,Plymouth,508-746-6654 x12,,508-746-6654 x10,,http://,41.9715336,-70.6903663,SU,,1,,,,1,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,1,1,,,1,1,,,,1,1,1,1,1,,,,,,,,,,1,,1,,,,,1,,,,1,1,,1,,,,,1,,,,,,,1,1,1,1,1,1,,1,1,,,,1,,,1,1,1,,1,,,1,1,,,,,,1,1,1,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,,1,,1,,1,1,,,1,,,1,1,1,1,1,,1,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchor House Inc,,60 1/2 Cherry Street,,Plymouth,MA,02360,,Plymouth,508-746-6654 x12,,508-746-6654 x10,,http://,41.9715336,-70.6903663,MH,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,,,,1,1,,,,,,1,,1,,,,1,,1,1,,1,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
